2024-07-10 02:05:24,656 INFO    StreamThr :29407 [internal.py:wandb_internal():85] W&B internal server running at pid: 29407, started at: 2024-07-10 02:05:24.656109
2024-07-10 02:05:24,657 DEBUG   HandlerThread:29407 [handler.py:handle_request():158] handle_request: status
2024-07-10 02:05:24,660 INFO    WriterThread:29407 [datastore.py:open_for_write():87] open: /media/kingston_shared/thesis/sss/wandb/run-20240710_020524-w3v27hzg/run-w3v27hzg.wandb
2024-07-10 02:05:24,661 DEBUG   SenderThread:29407 [sender.py:send():379] send: header
2024-07-10 02:05:24,695 DEBUG   SenderThread:29407 [sender.py:send():379] send: run
2024-07-10 02:05:25,371 INFO    SenderThread:29407 [dir_watcher.py:__init__():211] watching files in: /media/kingston_shared/thesis/sss/wandb/run-20240710_020524-w3v27hzg/files
2024-07-10 02:05:25,371 INFO    SenderThread:29407 [sender.py:_start_run_threads():1188] run started: w3v27hzg with start time 1720548324.656104
2024-07-10 02:05:25,376 DEBUG   HandlerThread:29407 [handler.py:handle_request():158] handle_request: check_version
2024-07-10 02:05:25,377 DEBUG   SenderThread:29407 [sender.py:send_request():406] send_request: check_version
2024-07-10 02:05:25,501 DEBUG   HandlerThread:29407 [handler.py:handle_request():158] handle_request: run_start
2024-07-10 02:05:25,531 DEBUG   HandlerThread:29407 [system_info.py:__init__():26] System info init
2024-07-10 02:05:25,531 DEBUG   HandlerThread:29407 [system_info.py:__init__():41] System info init done
2024-07-10 02:05:25,531 INFO    HandlerThread:29407 [system_monitor.py:start():194] Starting system monitor
2024-07-10 02:05:25,532 INFO    SystemMonitor:29407 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-10 02:05:25,532 INFO    HandlerThread:29407 [system_monitor.py:probe():214] Collecting system info
2024-07-10 02:05:25,532 INFO    SystemMonitor:29407 [interfaces.py:start():188] Started cpu monitoring
2024-07-10 02:05:25,533 INFO    SystemMonitor:29407 [interfaces.py:start():188] Started disk monitoring
2024-07-10 02:05:25,533 INFO    SystemMonitor:29407 [interfaces.py:start():188] Started gpu monitoring
2024-07-10 02:05:25,533 INFO    SystemMonitor:29407 [interfaces.py:start():188] Started memory monitoring
2024-07-10 02:05:25,534 INFO    SystemMonitor:29407 [interfaces.py:start():188] Started network monitoring
2024-07-10 02:05:25,554 DEBUG   HandlerThread:29407 [system_info.py:probe():152] Probing system
2024-07-10 02:05:25,559 DEBUG   HandlerThread:29407 [system_info.py:_probe_git():137] Probing git
2024-07-10 02:05:25,567 DEBUG   HandlerThread:29407 [system_info.py:_probe_git():145] Probing git done
2024-07-10 02:05:25,567 DEBUG   HandlerThread:29407 [system_info.py:probe():200] Probing system done
